"Installments: %s", "Cuotas: %s"
"Payment id: %s", "Id de pago: %s"
"Payment Status: %s", "Estado del pago: %s"
"Created at: %s", "Fecha de creación: %s"
"Payment type: %s", "Tipo de pago: %s"
"Error Payment notification is expected","Error Notificación de pago es requerida"
"Error Order Not Found in Magento: ","Error no se encontró el pedido: "
"Order already canceled: ","El pedido ya se encuentra cancelado: "
"Error Payment not found in Naranja","Error no se encontró el pago en Naranja"
"Transaction automatically approved by Naranja","Transacción aprobada automáticamente por Naranja"
"Transaction automatically denied by Naranja","Transacción denegada automáticamente por Naranja"
"-- Please Select --","-- Seleccionar --"
"Sandbox","Sandbox"
"Production","Production"
"Payment model does not provided.","Payment model does not provided."
"Naranja","Naranja"
"Advanced","Advanced"
"Environment","Entorno"
"Log to File","Registrar en log"
"Credentials","Credenciales"
"Client Id","ID de cliente"
"Access Token","Token de acceso"